routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ecmp-mptcp,true,296262.0067121861,738215.4843189446,1.7282,0.543047634389438
ecmp-mptcp,true,235294.1176470588,517804.22794117645,2.176,0.7070303304453789
ecmp-mptcp,true,308266.6024444578,384240.472033235,1.6609,0.9465517574851072
ecmp-mptcp,true,243022.59350674012,538810.5183216253,2.1068,0.8059952043683682
ecmp-mptcp,true,314786.35106055945,736200.4303719644,1.6265,0.6792430906658807
ecmp-mptcp,true,373749.9087524637,418331.99503613403,1.3699,1
ecmp-mptcp,true,312138.02353228064,862955.5569103212,1.6403,0.5850861163065819
ecmp-mptcp,true,231642.7634257793,366526.26340315794,2.2103,0.8998059560125959
ecmp-mptcp,true,243369.1415533796,610301.8347751687,2.1038,0.7406833661966263
ecmp-mptcp,true,231088.64415959563,588327.3153998917,2.2156,0.9459692296982143
ecmp-mptcp,true,245834.73375906274,560880.5876986604,2.0827,0.8865170994735602
ecmp-mptcp,true,247773.9063104917,517826.1711188541,2.0664,0.8294143387751121
ecmp-mptcp,true,231224.31468184074,464906.2909271553,2.2143,0.7539872261514179
ecmp-mptcp,true,234196.32238587504,605640.837983716,2.1862,0.9226778683679274
ecmp-mptcp,true,319082.6374174249,866209.6472641156,1.6046,0.6519639257037155
ecmp-mptcp,true,257079.7348865234,637563.7678248644,1.9916,0.9432783286881422
ecmp-mptcp,true,277822.99636442563,582030.4954148353,1.8429,0.8777406444331978
ecmp-mptcp,true,450982.11926363077,504110.8077160222,1.1353,1
ecmp-mptcp,true,307489.0396973155,730936.8806678278,1.6651,0.8042292128040344
ecmp-mptcp,true,322845.0721987515,690766.1264896904,1.5859,0.7961021083391697
ecmp-mptcp,true,282186.9488536155,672279.5414462081,1.8144,0.8921229053561776
ecmp-mptcp,true,254018.65449493946,537872.5937686049,2.0156,0.6953002835466933
ecmp-mptcp,true,255680.39950062422,605329.3383270912,2.0025,0.8177842783530842
ecmp-mptcp,true,255667.6320782982,516260.36153001094,2.0026,0.604282498413446
ecmp-mptcp,true,261584.8362540234,292363.45986818575,1.9573,1
ecmp-mptcp,true,251695.99842690004,560216.3012486482,2.0342,0.9667920459545041
ecmp-mptcp,true,254840.47583495095,468555.07441142795,2.0091,0.6606601198908337
ecmp-mptcp,true,212360.0165906263,585591.0410618001,2.411,0.7472187468298785
ecmp-mptcp,true,234840.84028988166,358268.96614989446,2.1802,0.6514311295664801
ecmp-mptcp,true,212668.743509865,522375.0778816199,2.4075,0.6480578654303726
ecmp-mptcp,true,234786.995001605,396662.08098317054,2.1807,0.6947021073232897
ecmp-mptcp,true,229843.77805710182,466564.912910756,2.2276,0.8098874773535896
ecmp-mptcp,true,220300.33131104513,531105.3741233165,2.3241,0.6324469432504531
ecmp-mptcp,true,228796.1390651533,544448.1186879971,2.2378,0.70705314687213
ecmp-mptcp,true,230236.53206223578,602386.0059357855,2.2238,0.7190809133154067
ecmp-mptcp,true,236107.9086926447,362510.02997463685,2.1685,0.590433525192095
ecmp-mptcp,true,235304.9312927984,474815.4786525116,2.1759,0.8721620867419625
ecmp-mptcp,true,231936.5798414496,554031.2570781427,2.2075,0.6862521367150555
ecmp-mptcp,true,233821.98474676895,565402.5665616294,2.1897,0.8943060215157619
ecmp-mptcp,true,228174.16105887073,538065.8674628994,2.2439,0.7431134469010512
ecmp-mptcp,true,231989.12550974175,601068.418667875,2.207,0.8353221343389573
ecmp-mptcp,true,227081.2081429902,571538.5638887656,2.2547,0.7269904857285928
ecmp-mptcp,true,208460.56756646716,515653.2714466023,2.4561,0.8193391565550769
ecmp-mptcp,true,213618.1575433912,591611.3150867824,2.3968,0.6761719818493164
ecmp-mptcp,true,205953.3386967015,478390.989541432,2.486,0.7314709802496063
ecmp-mptcp,true,173700.63780702944,410293.7983444158,2.9476,0.6562243370402053
ecmp-mptcp,true,227403.95292027536,489345.7694870086,2.2515,0.6633346056893209
ecmp-mptcp,true,210664.91112574062,499793.44963791966,2.4304,0.7599352800110079
ecmp-mptcp,true,207111.36280894783,461545.64944783784,2.4721,0.5703776075590989
ecmp-mptcp,true,211902.98816323152,526162.9831967553,2.4162,0.9090283845871974
ecmp-mptcp,true,218868.8924037105,679307.4851451288,2.3393,0.8178071247491722
ecmp-mptcp,true,215062.79665644557,627417.9863065485,2.3807,0.7693160075571297
ecmp-mptcp,true,204562.7072595789,528867.3139158576,2.5029,0.8200407539726664
ecmp-mptcp,true,208877.28459530027,525446.3120104439,2.4512,0.8819745380850743
ecmp-mptcp,true,211430.45920052857,427135.7779980178,2.4216,0.7778670900812976
ecmp-mptcp,true,212819.02069997505,592005.9855349571,2.4058,0.6742515920041913
ecmp-mptcp,true,218588.56679332283,574589.0791102763,2.3423,0.653700783749942
ecmp-mptcp,true,240488.49224988258,614720.5260685768,2.129,0.8001387348747234
ecmp-mptcp,true,256192.14410808106,531765.8243682762,1.9985,0.6502356836570568
ecmp-mptcp,true,210483.04213771838,656933.1963001027,2.4325,0.9492466068553025
ecmp-mptcp,true,342658.27867755323,810331.9502074689,1.4942,0.7242325868998719
ecmp-mptcp,true,234153.4802890332,535699.2591237538,2.1866,0.656838691654622
ecmp-mptcp,true,225292.61638651762,658257.9424447769,2.2726,0.7130594659907455
ecmp-mptcp,true,216124.9472351203,454724.3562684677,2.369,0.7389826282664655
ecmp-mptcp,true,206127.4608478602,537215.668907766,2.4839,0.7498747692821459
ecmp-mptcp,true,210638.91060188424,542334.3069897561,2.4307,0.772661766995146
ecmp-mptcp,true,203691.91597708466,529219.0483768301,2.5136,0.8305456636436087
ecmp-mptcp,true,410355.0532980684,1109694.6381341668,1.2477,0.4785653168370568
ecmp-mptcp,true,327931.8516620765,942637.5456350477,1.5613,0.7585502886547739
ecmp-mptcp,true,324790.6622684598,844011.6721644253,1.5764,0.9245606824695087
ps-mptcp,true,248170.2292666376,695075.3720129902,2.0631,0.9666939637230283
ps-mptcp,true,254739.04174337033,669771.6304293746,2.0099,0.9412686125022358
ps-mptcp,true,262389.1764464716,547341.7721518987,1.9513,0.9496840145618464
ps-mptcp,true,246106.51797731206,605018.2657181311,2.0804,0.878899264851977
ps-mptcp,true,245870.14982712257,693534.3834037649,2.0824,0.8904339905543807
ps-mptcp,true,209141.78342387974,612690.6580613536,2.4481,0.9035201493251651
ps-mptcp,true,247857.86900324345,721701.1182649949,2.0657,0.9643632342876989
ps-mptcp,true,908929.52245695,1016532.9309426593,0.5633,1
ps-mptcp,true,245634.23527154097,669008.82748033,2.0844,0.970611643533818
ps-mptcp,true,252365.93059936908,755279.9684542587,2.0288,0.9090737596679872
ps-mptcp,true,247295.20865533233,697269.1267387945,2.0704,0.9344498469295875
ps-mptcp,true,253653.70324498392,693941.0453306912,2.0185,0.9393383142832589
ps-mptcp,true,256371.73902158128,689020.5798407691,1.9971,0.9233861655217603
ps-mptcp,true,165363.99457399393,456662.3603126413,3.0962,0.8729616295639209
ps-mptcp,true,281210.5234250563,792265.6121272038,1.8207,0.9017216875280506
ps-mptcp,true,271430.8434501405,721347.6117266606,1.8863,0.961686132252979
ps-mptcp,true,266486.23327955033,523534.58595742466,1.9213,0.9487077306621865
