routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ecmp-mptcp,true,2338483.4968777876,3830251.917930419,11.21,0.7301846256344335
ecmp-mptcp,true,2310636.3099487885,5062522.322412319,11.3451,0.8669182457982534
ecmp-mptcp,true,2168468.595157541,2382660.9534366233,12.0889,0.8213664229427051
ecmp-mptcp,true,2354424.695305413,2559259.0330605977,11.1341,0.8702769342259224
ecmp-mptcp,true,2348792.2012758944,2560155.7236040425,11.1608,0.7858403022901683
ecmp-mptcp,true,2276701.8116760175,5027774.747702836,11.5142,0.7227262727205576
ecmp-mptcp,true,2286611.480857968,2504704.3430475476,11.4643,0.829830042914089
ecmp-mptcp,true,2334069.3781608376,3828280.148158701,11.2312,0.6143182742008524
ecmp-mptcp,true,2327210.745452447,5094163.862823255,11.2643,0.8421904595348942
ecmp-mptcp,true,2351025.093720292,2563508.4572474035,11.1502,0.810021727814686
ecmp-mptcp,true,2338066.357474135,2549372.8148412416,11.212,0.734948599102621
ecmp-mptcp,true,2203853.78484716,4830667.8548609475,11.8948,0.8931005612994182
ecmp-mptcp,true,2353558.025533749,2559336.1584457094,11.1382,0.889655707486436
ecmp-mptcp,true,2351995.4062589724,2556623.241458513,11.1456,0.9988173371227151
ecmp-mptcp,true,2260446.667241528,2480985.772182461,11.597,0.7766620388696082
ecmp-mptcp,true,2356054.06960023,2560329.3068737416,11.1264,1
ecmp-mptcp,true,2346080.528383615,3850843.498572541,11.1737,0.7542458601362232
ecmp-mptcp,true,2330479.619504823,2544539.094101436,11.2485,0.8525919380567626
ecmp-mptcp,true,2220919.396106207,2426071.979260213,11.8034,0.6495416990198681
ecmp-mptcp,true,2353093.246203009,2557377.2934544543,11.1404,0.9135290851577382
ecmp-mptcp,true,2347551.2013396975,2556605.4429688267,11.1667,0.7950914445036601
ecmp-mptcp,true,2343647.4658703837,4470204.464788606,11.1853,0.8039147648090488
ecmp-mptcp,true,2322365.7400024803,4429947.19963146,11.2878,0.5093586862075536
ecmp-mptcp,true,2214147.556906964,4842939.144389544,11.8395,0.6873133924541858
ecmp-mptcp,true,2237124.3994231047,4282178.718029681,11.7179,0.820117763770492
ecmp-mptcp,true,2342244.460328806,2555962.2944960687,11.192,0.8044486741457464
ecmp-mptcp,true,2346122.522038752,2555953.8193046045,11.1735,0.8238847548252688
ecmp-mptcp,true,2351763.302143235,2555859.940610226,11.1467,0.8514458085395734
ecmp-mptcp,true,2353705.948372615,2558590.7070707073,11.1375,0.87954389641444
ecmp-mptcp,true,2319612.076593636,5053977.276749372,11.3012,0.8931456787885147
ecmp-mptcp,true,2353600.2873047227,2559068.7735679657,11.138,0.9697959458091124
ecmp-mptcp,true,2355799.992810669,2560072.0730436035,11.1276,1
ecmp-mptcp,true,2336024.523694951,2551988.4510506336,11.2218,0.8000903855399228
ecmp-mptcp,true,2333508.39868612,5086914.784714124,11.2339,0.8648670356938533
ecmp-mptcp,true,2295401.2118664845,5013289.026654057,11.4204,0.8543450314090741
ecmp-mptcp,true,2353051.002638996,2557646.4463314367,11.1406,0.9316376361030413
ecmp-mptcp,true,2348161.0204410683,2558947.3118472206,11.1638,0.6979705194455401
ecmp-mptcp,true,2238022.0605812245,3670117.3035549633,11.7132,0.7908115322291633
ecmp-mptcp,true,2350224.1348395194,5117760.803299265,11.154,0.8076094666494052
ecmp-mptcp,true,2349423.721522164,5122547.814085214,11.1578,0.5956670084901071
ecmp-mptcp,true,2345597.709377237,2555166.7859699354,11.176,0.72292646887273
ecmp-mptcp,true,2231411.5714297877,2442320.5849556094,11.7479,0.9001958886106756
ecmp-mptcp,true,2348055.8566143867,2560163.377909945,11.1643,0.7319905190451926
ecmp-mptcp,true,2350097.7175335735,2554362.1465583704,11.1546,0.99794099652854
ecmp-mptcp,true,2352480.862940063,2557609.505263252,11.1433,0.9722143194856923
ecmp-mptcp,true,2352143.132733358,2557160.6743891826,11.1449,0.9961220888403344
ecmp-mptcp,true,2238174.92571975,2440737.5089648576,11.7124,0.9865164201223455
ecmp-mptcp,true,2259238.830667402,2462539.9889685605,11.6032,1
ecmp-mptcp,true,2313144.147959904,4425160.242834956,11.3328,0.7539918437934786
ecmp-mptcp,true,2347635.2954873145,2558879.4855950493,11.1663,0.8231701175805198
ecmp-mptcp,true,2349613.2438222086,2558376.7892514947,11.1569,0.6366899474936722
ecmp-mptcp,true,2355143.8813372026,2559748.802860557,11.1307,0.8810449666405267
ecmp-mptcp,true,2211663.0669546435,4847844.222462203,11.8528,0.8051139223478373
ecmp-mptcp,true,2351067.264573991,2561631.390134529,11.15,0.8294630927679849
ecmp-mptcp,true,2261402.1618170994,4943919.565911267,11.5921,0.6259529437349538
ecmp-mptcp,true,2305434.1421372476,5032756.998249888,11.3707,0.7418243559155456
ecmp-mptcp,true,2329195.8026424516,5079720.116928928,11.2547,0.8633794463872322
ecmp-mptcp,true,2351193.786212711,2562646.958580731,11.1494,0.7524173125017248
